标题,日期,版次,内容
国方仍不顾中外复堤合理要求  我驻京代表据理力争  我要求驻员花园口，竟遭无理拖延。,1946-05-25,第2版,"专栏：

　　国方仍不顾中外复堤合理要求
    我驻京代表据理力争
    我要求驻员花园口，竟遭无理拖延。
    【本报邯郸讯】晋冀鲁豫边区政府代表赵明甫、王笑一偕同黄委会危海宁氏（美人，社会科学家，联总驻华河南区主任）等三人一行，于十五日抵京后，即会同周恩来同志会见全国水利委员会主任薛笃弼氏，重申维持荷泽协议原案，薛氏表示必须召开各方联席会议解决。笃弼薛氏则坚主必须复堤浚河、迁移河床内居民后始能堵口。国民党反动派倒行逆施，竟不顾中外人士合理要求与建议，一意孤行。闻我代表日内即将晋谒宋院长及联总负责人协商，据理力争。
    【本报荷泽讯】晋冀鲁豫边府驻开封黄委会代表团赵明甫、王笑一二同志去南京后，我留汴代表即向黄委会驻汴负责人王恢先，要求由我方代表成润同志驻花园口堵口工程处，以便及时了解工程进行情况，国民党方面，竟借口“须请示中央”，故意拖延，现我方代表一面已向国民党方面提出抗议，一面正继续交涉中。"
国民党军狡黠无耻  密征日俘残杀同胞,1946-05-17,第1版,"专栏：

　　国民党军狡黠无耻
    密征日俘残杀同胞
    【新华社四平街十四日电】国民党军征用大批日俘，从民主联军所缴获之文件中，发现有国民党军对征用日俘之可耻的代电，原文如下：陆军第八十七师司令部代电第九八九号，民国三十五年四月十五日，二十一团鉴：查征用日军官兵一案，曾奉上命，只能以征用敌俘服劳役名义办理，详情业于十二月十七日代电转知在案。本师此次征用敌俘一二六名，当不能补入本师花名册内，兹将制定名册格式一份，随电附发，仰即速造五份，以便转请备案，请领粮饷，除分电外，特电遵照办理。师长黄炎、副师长彭却房有电。附征用敌俘花名册格式一份。
    于此可见，国民党军征用日俘作为其内战工具残杀同胞，真是煞费苦心，而中央社对民主联军征用日人之造谣污蔑，其目的在于转移视听，但结果是自露丑相。"
辉北县争取在麦收前  彻底贯彻减租,1946-05-22,第2版,"专栏：

　　辉北县争取在麦收前
    彻底贯彻减租
    【本报长治讯】辉北全县八十六村，一月来有六十三村开展了翻身斗争。进行查减的二十九村，反奸的二十一村，反贪污、反恶霸的三十三村。原有的二十三个落后村中，有十八村打开了局面。过去素称封建地主堡垒的西平罗村统治集团被群众打垮了。三十多家佃户都减了租。龙王庙的曲子佩与山怀村的崔祖严等勾结敌伪杀害群众的汉奸特务，在群众控诉与要求下，由政府执行枪决，并缴出私藏的长短枪四十五枝。领导上在这一时期，克服了包办代替作风，执行了放手发展方针。在大村，展开由小发展到大规模的斗争；在分散的小庄，采取了分散的一边酝酿诉苦，一边斗争解决问题的办法。现在群众与干部情绪都很高，决心争取在麦收前将运动贯彻到底，做到不留尾巴。"
杜鲁门要求拨粮给救济总署  斯大林复函表示惋惜  苏粮食已拨予法兰西等国,1946-05-26,第1版,"专栏：

　　杜鲁门要求拨粮给救济总署
    斯大林复函表示惋惜
    苏粮食已拨予法兰西等国
    【新华社延安二十三日电】莫斯科今日广播：美总统杜鲁门日前致函苏联内阁主席斯大林，要求苏联政府拨粮给善后救济总署，以供救济之用。斯大林在回答杜鲁门信中表示惋惜称：“美总统关于上述问题，在三个月以前没有向苏联提出，那时苏联尚能为力，而在五月中旬，即在苏联已给法国及其他各国拨出某些数量之粮食后，苏联粮食储蓄已告罄尽时提出这一问题，苏联诚无能为力”。对于杜氏的另一建议，即要求苏联与其他输出粮食各国合作行动一节，斯大林回信中称：“苏联原则上不反对这一建议，但必须经过专门讨论”。"
博山各铁工厂  实行分工制造联合经营,1946-05-21,第2版,"专栏：

　　博山各铁工厂
    实行分工制造联合经营
    【新华社博山十八日电】博山市恒泰等十二家铁工厂，顷实行分工制造，联合经营，以克服不能单独制造成品等困难，劳资双方并选举组成联合营业部，由各工厂集资作为活动资本。五月底可产弹花机、轧花机各十部。"
西北联大学潮扩大  法西斯反动派竟施镇压,1946-05-24,第1版,"专栏：

　　西北联大学潮扩大
    法西斯反动派竟施镇压
    【新华社延安二十日电】西安讯：西北联大学潮更加扩大，当局竟于上月二十四日拨派大批军警特务，将城固四门紧闭，搜捕该校学生。上月初，西大同学因反对校长刘季洪勒令解散自治会，掀起驱刘运动后，刘竟非法提用公款两千万元，企图把全校学生活活饿死，并于十九日指示特务学生张子正、梁尚德及庶务主任郭君实等三十余人，携带几十枝手枪，组织所谓“护校团”，在当地军警协助下，包围西大法商学院，大举捕人，并强迫学生参加“护校团”。法商学生纷起反抗，一部分学生并突破军警包围，冲出校门，特务孙其＠等竟开枪追击，被追击的学生因尚有同学被围在校，乃回头呼吁释放，时值校本部学生亦往探问，特务等复紧闭校门，大肆鸣枪，乱掷砖石。至二十四日，城固军警又配合该校宣布全城戒严，由特务领着军警，分赴学生宿舍及公共场所，大举捕人，闻自治会主要分子多已被捕。"
太原日军尚多  请问阎锡山留下何用,1946-05-23,第1版,"专栏：

　　太原日军尚多
    请问阎锡山留下何用
    【邯郸十九日电】十七日继续查明日军留驻山西的又有驻寿阳之特务大队一千二百余人，大队长为岳藤田雄信。榆次日军工程大队，太原日军士官训练学校已招日本士以上军官二百余人，现仍继续招生，足证太原日军尚多。留驻定襄者六百余人，五台一部，人数不详。
    【邯郸十九日电】东沁执行组我中共代表备受阎伪军折磨，经常给我方代表吃生饭、喝半开水、虚报情况、限制活动，类此阴谋不胜枚举，企图以此逼迫我代表撤退，以便其布置内战。我方代表为了坚持调处工作，一律忍受，设法从我防区取些熟饭，继续坚持东沁小组工作。被阎伪发觉后，于十四日向我送饭人员连发三枪。我代表对阎伪射击我工作人员，已向国方代表提出抗议。"
制止国民党水淹五省  冀鲁豫沿河七百万居民  向豫皖苏同胞呼吁团结起来救人自救,1946-05-20,第2版,"专栏：

　　制止国民党水淹五省
    冀鲁豫沿河七百万居民
    向豫皖苏同胞呼吁团结起来救人自救
    【新华社邯郸讯】冀鲁豫区沿黄河故道十八县的七百万人民，顷特向豫皖苏三省同胞发出呼吁，要求共起制止国民党反动派放水危害五省人民之阴谋，全文如下：
    黄河南岸豫皖苏各省同胞公鉴：
    黄河自民国二十七年被国民党决堤改道南迁以后，八年来你们已备尝黄河水灾的苦痛，我们非常同情，“天下百姓是一家”，所以我们并不反对黄河归复故道，但你们必能了解我们受黄水的灾害有数千百年之久，仅民国二年至二十六年黄河决口即达十二次之多，不知淹死了我们多少父老兄弟姊妹，不知冲毁了我们多少田地、房屋、财产。特别抗战以后，我们经了八年敌灾，二年天灾，创剧痛深，兼之故道堤坝大部毁坏，如不先加修复，而遽然驱水北来，我们就立有地尽泽国，人尽鱼鳖之惨祸。因此我们再三再四的要求国民党政府，首先复堤浚河，然后堵口放水，并在工程进行期间修理新道堤岸，防止泛区扩大，并积极救济新泛区广大灾胞。虽经多次谈判，多次订立协议，但均被国民党所推翻，近更置我三千万人民之意见及生命财产于不顾，丝毫不管复堤浚河等工程及迁移救济等问题，只加紧花园口堵口工程，限本月底合龙放水，以配合其军事行动，进攻我解放区，毁灭我人民。同胞们！我们七百万人岂能坐以待毙吗？不，我们只有紧急动员，一致奋起，自救自卫，阻水北泛。若然，则黄水滔天，或南或北，殊虽逆料。因此，现在这一问题已不仅是我们冀鲁豫三省人民的问题，而是我们冀鲁豫皖苏五省同胞的共同问题，我们现在为了挽回此亘古浩劫，当此时机紧迫之际，仅以十二万分的诚意向你们呼吁，我们现在惟一的共同良策，就是一致团结起来向国民党反动派作生死斗争，使其立即停止堵口工程，抛弃放水罪行，让我们有浚河复堤，迁移安置河床居民的机会，否则我们将在国民党反动派的恶毒政策下同归于尽。
    同胞们，救救我们，救了我们也就是救了你们自己。
                冀鲁豫区沿黄河故道十八县七百万居民同叩"
晋绥等三解放区  风调雨顺夏收有望  察南旱象已成政府号召防旱备荒,1946-05-23,第2版,"专栏：

　　晋绥等三解放区
    风调雨顺夏收有望
    察南旱象已成政府号召防旱备荒
    【新华社延安十九日电】据本社晋绥、晋察冀、山东分社来电，三个解放区各地，入春以来，大部普降甘霖，风调雨顺，今年夏收有望。晋绥边区的文水、汾阳、平遥等平川一带，麦苗茂盛，为近二十年来所未有，兴县、临县等地春麦，亦为十余年来所罕见。主要种棉区吕梁等地，在谷雨前棉花已大部下种。山东麦苗亦盛，临沂一带，六日喜雨。渤海区占耕地半数的一千万亩麦田，可望丰收，秋田大部亦已出苗。晋察冀边区各地，雨水亦盛。冀中、冀东区麦苗，已长高二尺余，即将抽穗灌浆。据老农估计：如无意外，每亩小麦可收七斗至一石，可得八九成年景。冀西各地于上月十六日及二十八日数日，相继下了透雨，群众正突击播种。惟察哈尔省之察南，旱象已成，该省政府已号召人民进行防旱备荒。"
掌握运动火候  宁阳反奸减租紧密结合,1946-05-24,第2版,"专栏：

　　掌握运动火候
    宁阳反奸减租紧密结合
    【本报荷泽讯】宁阳是敌伪长期统制的“模范县”，全都实行了保甲制度，鸡、狗、鹅、鸭、嫁娶等等七十余苛捐杂税，群众负担每年每亩不下二百斤，另外还有天天挖沟打墙、站岗、运炭、看铁路等劳役负担，又加旱灾蝗虫，连年不收，保长贪污，混水摸鱼，造成了宁阳四多：（一）找活的雇工多。（光到泰安找活做的就有四千多）。（二）逃荒的多。（三）要饭的多。（四）汉奸多。黑暗混乱象人间地狱。县委根据这种情况，决定先把邪气压下去，再使运动深入。首先取消敌人的一套保甲制度，苛捐杂税，通过反奸诉苦，打垮了汉奸统治机构，紧接着转入减租运动。群众认识了我们的政策和主张后，自发的开展了反伪保长的斗争，当夜就有五六十人去找保长算账。邪气开始压下去，农民情绪高涨起来，领导上就抓紧了火候，趁热打铁，引导转入减租，对佃雇说明咱们是穷人的先锋队，要先翻身；对贫中农说明反奸胜利后咱们要帮助雇佃减租增资。首先组织了对“黄大人”的减租斗争，一直扩大到几十个村的联合斗争。“黄大人”曾坐过总督，有二百多顷大亩地（合市顷六百顷），用过男女仆人二百多个，有人比他的威风和红楼梦上的贾府差不多，他对佃户的剥削最厉害，他的租是活租，坏年景原租要，好年景就提高，如佃户不愿交，立即退地。到村里催租时，任意打骂侮辱佃户，小恒庄就是“黄大人”的庄，全庄都当佃户。这些佃户种了四辈子地了，越种越少，头一辈子时全村佃户还有五十多亩地，现在只落二十八亩了。年轻小伙子，只有两个娶媳妇的。这村男女老少的口头语：“再种一辈子地连根都种断了。”小恒庄倒租后，佃户分头出发联络外村，半月的工夫十多个村庄对黄大人的减租斗争胜利了！胜利后八百多雇佃联合开大会庆祝胜利，共倒粮食三十余万斤。目前各区正进行热烈的减租增资和回地斗争。"
太原周围阎军出犯  孝义汾阳一带小有接触,1946-05-24,第1版,"专栏：

　　太原周围阎军出犯
    孝义汾阳一带小有接触
    【新华社兴县二十日电】阎锡山于本月初在榆次召开军事会议派遣赵承绶、梁化之、王靖国、赵恭、刘效增等高级将领，分赴太原周围各县及晋西南等地进行军事部署后，已开始向解放区作新的进攻。十一日，驻阳曲之七十一师两个团，配合驻向阳店之四十六师共两千余人，进攻我王封镇（阳曲西北约二十余里）。七十一师另一部配合日军二百余，向我北格镇（徐沟北十里左右）进攻。同时，杨陨率伪军三百余，从太原出发，经小店向北格镇进犯，遂将陈镇侵占。十三日晨，孝义兑九峪阎军五百余，附重炮迫击炮各一门，分两路向我下堡（孝义西平约二十里）、石相两地进犯。进攻石相之阎军被阻击后，转攻下堡，向我守军发炮三十余发，冲锋三次未逞。十四日，驻汾阳阎军二○八、二○九两团及伪二团李育才部七百余人，附山炮一门，迫击炮两门，由刘效增率领，向我特庄河北村（汾阳西南十里左右）一带进攻，另一路由田屯镇向我东西龙官（汾阳西南二十里）进攻，企图侵占我三泉镇（汾阳西南三十里），经我军阻击，遂转而侵占我文伯村、乔家庄。从本月七日到十四日八天中，阎军向我太原、清源、徐沟、文水、交城、汾阳、孝义等边缘区作较大之进攻共十七次，杀害与抢走我干部壮丁达数百人。"
吉林省临参会成立  坚决反对国民党在东北进行内战,1946-05-24,第2版,"专栏：

　　吉林省临参会成立
    坚决反对国民党在东北进行内战
    【新华社长春二十日电】吉林讯：（迟到）吉林省于上月五日，举行首届临时参议会，出席各县参议员及团体代表五十七名，列席来宾及旁听者五十余名。参议员都踊跃发言，特别对于如何反对反动派进攻东北保卫和平民主的新吉林问题，讨论更为热烈。代表温立成先生说：“要建设和平民主的新东北，必须彻底摧毁法西斯的一切阴谋。”高文之先生说：“东北人民只有生与死两条路，如果国民党反动派得以在东北实行专制独裁，那就是人民的死路，只有彻底实现自由和平与民主，才是我们的活路。”大会一致要求国民党当局执行政协决议，坚决反对在东北进行内战；并要求追认经吉林全省人民选出之吉林省政府，大会最后选出李杜为正议长，萧丹峰、马德恩为副议长，李玉麟、林纳、杨雨田、关山复、李乐年、孙继民为驻会委员。李乐年老先生高兴地说：“我活了六十五岁，一直到现在才看到东北有了和平民主，我要和大家一起干到底，干到死。”孙继民先生激动地说：“我是辛亥前参加革命的同盟会员，但到今天我才看到中共真正为人民造幸福；实行民主政治，建立联合政府。我绝不能再观望了。”历时五天的大会，在欢乐的气氛中宣告结束。"
宣化店执行小组  下令停止开火,1946-05-21,第1版,"专栏：

　　宣化店执行小组
    下令停止开火
    【新华社宣化店十六日电】（迟到）宣化店三十二执行小组，于十二日上午召开会议，发表宣字第一四号命令，内称：“据本三十二小组中共代表报告，有军队调动及军事冲突事情，所报违反命令之军事行动，据称在河口与黄陂以西与以南，在大成潭、磨磨寨、道士咀、下杜家凉亭、塔尔岗、柿子树店、杨家河、孟尝河、张家河及红毛砦一带，在本小组未行调查所报之军事调动及军事冲突以前，兹命令你们所属部队停止开火，并撤至一九四六年一月二十三日（系罗山协议之日）以前之位置，此命令须于到达时立即生效，此令”上项命令由小组三方代表签字，并分别送达国民党七十二军及十八军，同时以一份送到我中原军区司令部。又该小组将于十七日上午十时到陂（黄陂）安（黄安）以南视察，现已乘宜汉路转车抵姚家集，闻此次出发视察，系监督上项命令之执行，并将继续至麻城小界岭一带视察。"
永丰运输公司开张华中水陆交通畅达,1946-05-18,第2版,"专栏：

　　永丰运输公司开张华中水陆交通畅达
    【新华社淮阴十四电】民办永丰运输公司，于上月二十日，在清江开张，备有汽轮十一艘、大轮船四只，汽车十辆及马车二十四辆。水路交通，淮阴、高邮间，高邮、邵伯间已通航，每日开来四班，淮安、淮×间，每日对开五趟。陆路交通，各线正试班中，宿迁等地已通车。汽车票价低廉，客票每里一元，货物一百市斤以下，每里一角，故客运拥挤，十天中售票达华中币四万元，合法币一百万。"
国民党豢养伪匪扰乱解放区  惯匪陈德三部被肃清  蜀山湖变为良田人民生产自卫,1946-05-21,第2版,"专栏：

　　国民党豢养伪匪扰乱解放区
    惯匪陈德三部被肃清
    蜀山湖变为良田人民生产自卫
    【新华社荷泽讯】在国党支撑下盘踞于我二分区蜀山湖一带之惯匪陈德三部十余股，共六百余人，现已被我解除武装。共缴轻机枪三挺、掷弹筒两个、长短枪八十余支。陈匪于民国三十三年开始组织土匪时，仅二、三十人，当时何思源即派其特务白先恩打入，掌握该匪，并与当时邓城伪县长刘本相勾结，借敌伪势力，扩大组织，压榨群众，将蜀山湖变为匪区。该匪后投降伪军（济宁）汶（上）东（平）剿匪司令张子明，任剿匪副司令。敌人投降后，济宁被我解放，国民党委该匪为鲁西区专员兼剿匪司令，并派国特张广福任其秘书。二月间，该匪股长白关昌，曾带武装三十余赴济南与国民党联络，因受国民党之支撑与指令，扩展匪众二千余，积极进犯解放区。三月十日，曾到我南旺县十里闸、五里铺一带抢掠，杀死各村农会干部及村干部十余人，暗杀汶上二区工作员一人。经我围剿，闻该匪已逃至济南，其下层士兵，纷纷向民主政府自首，仅其残余一部，分组隐蔽，继续秘密活动。该湖水现已被我引入运河，大部土地变为良田。现湖内村庄群众，已大部成立了自己的组织，一面自卫，一面生产。"
塔斯社奉命辟谣红军中绝无德军官,1946-05-27,第1版,"专栏：

　　塔斯社奉命辟谣红军中绝无德军官
    【新华社延安廿三日电】塔斯社奉命辟谣，英国路透社及伦敦几家报纸登载消息称：俄国人把许多前德国的军官编入红军部队中，并称德国军官正在帮助训练红军部队。塔斯社奉命声明，这些彻头彻尾都是凭空捏造的，唯一目的是企图使落后的人们不相信在德国英军占领区保存大量德军的事实。（编者按：据美国记者揭露，该区保留之正式德军达十二万人，而据美国专栏作家史东之判断，则有达百万之德军，由英国所保留）。其次红军根本不需要外国军官帮助，尤其是德国军官的帮助更说不上。"
国民党法西斯派  优容汉奸战犯  杜逆锡钧被释放庞逆炳勋升了官,1946-05-19,第1版,"专栏：

　　国民党法西斯派
    优容汉奸战犯
    杜逆锡钧被释放庞逆炳勋升了官
    【新华社延安十六日电】国民党法西斯派对于各地战犯在极度优容，除华北巨奸汤芗、杜锡钧等逆已被公开释放逍遥法外外，即被囚于上海之汉奸，也备受优待。中央社记者李明，十一日在沪参观战犯拘留所后称：渠目击“忠”字监内汉奸四百余人，大部面色红润，若干监房内，并置有上海鲜见之广柑数箱。又被拘广州三百名汉奸中，如伪粤警务院院长郭逆卫民等，其囚室无不帐簿俱全，椅桌齐备，且有书报可读，与一般囚犯有天壤之别。据看守所负责人说：“乃奉命优待者”。此外，宜昌的前伪县长等，最近也被宣判无罪，该县日俘依然戴膏药旗的帽子和军装，看样子不灭当年威风。据看守的中国兵说：“他每天还吃一斤肉，一斤酒，一包烟呢”。（新民报载）
    【新华社延安十四日电】北平讯：据益世报泄露，臭名远扬的大汉奸庞逆炳勋，近公然被国民党当局委任为十一战区长官部上将高级参谋。又曾任伪绥靖总署办兼伪华北绥靖军总司令之杜逆锡钧，一度被捕后，现竟予释放。"
豫东解放区介绍,1946-05-21,第2版,"专栏：

　　豫东解放区介绍
    四月十日，在新乡举行国共参谋长会议上，国民党代表郑州绥署参谋长赵子立氏，满口撒谎，竟谬称：“豫东在一月十三日前并无中共部队，企图否认我豫东解放区的存在，以为发动大规模内战的口实。五月八日国民党又向新乡小组提出备忘录，否认元月十四日前，有我豫东八路军存在的事实。这是国民党好战分子准备发动内战行动的一部分。
    豫东解放区原包括水东（新黄河以东），水西两部分，远在一九三八年五月郑州会战时，日军大举进犯豫东，国民党军不战而溃，闻风逃窜。杞县、睢县、太康等城先后沦于敌手。中国共产党员吴芝圃、王介甫、王徕文等，即结合当地抗日志士，成立新四军抗日三支队，转战于睢县、杞县、通许、太康地区，领导豫东人民积极打击敌伪，开创了水东抗日游击根据地，同年五月，新四军彭雪枫将军从竹沟率部东进，与三支队在西华一带会合，乃合编为新四军抗日游击大队。年底抗日游击大队大部继续东进，深入敌后，到达安徽、河南、江苏三省交界处之毫州、永城、萧县地区，创立豫皖苏边区，即现在华中之淮北军区，仍留冯胜、马庆华等同志领导游击大队，继续坚持水东地区斗争。此时豫东地区汉奸武装遍地滋生，土匪到处横行，敌人则不断的向我军进行疯狂的扫荡，环境异常艰险，但我军仍继续不屈不挠的抗击敌伪，并主动的去袭击敌人。就在一九三九年春，我军在杞县公路上伏击敌人的战斗中，我大队政委马庆华同志光荣的牺牲了。经过一年的艰苦奋斗，敌人消灭我军的企图，完全失败了，我军不仅未被消灭，在广大民众的拥护下，反而大大的扩大了。当时部队已发展至三千余人，遂于一九四零年春正式成立水东独立团。在我军积极的作战下，敌人遭受了严重的打击，凶焰大减，土匪也肃清了，人民开始得到了比较安全的生活。然而就在这个时候，国民党反动派对我水东解放区发动了大规模攻势，日寇进攻时，国民党军队望风逃到河西及黄泛区去避难，把水东人民拱手送给敌人。三年来未曾丝毫对敌人作过任何攻击，此时却丧心病狂放着敌人不打，竟妄图将我军逐出水东，把水东已解放了的民众，重交敌人。在汤恩伯的指挥下，派遣了八十一师等部队，配合当地敌伪疯狂的向我军发动了大举进攻，于四一年四月十七日在杞县南，将我中共水东地区地委书记韩达生同志等二十余人活埋，先后屠杀我军民达千余名之多，但是我军并未因此而被逐出，依然坚定不移的坚持了水东地区。而这些“勇于内战”的国民党军队，却不久便在日寇的扫荡下，再次的溃败回河西去了。至于水东各地的国民党政权，自三八年日寇侵陷豫东各县后，即已悉数逃入黄泛区，整日唯以征款、要粮剥削为能事，从未领导人民作过丝毫抗日工作。因此，在广大人民的热烈要求下，我水东联防办事处乃于是年八月成立，经人民一致推选当地群众领袖崔廷同志为办事处主任，并于一九四二年初，相继建立了杞通、杞北、杞南、睢太等四个县的联防办事处。至此，我水东解放区开始走上了发展与巩固的阶段。四三年春，水东区划归冀鲁豫边区领导，乃正式建立泛水二军分区。四四年日本大举进犯中原，国民党大军四十万，一触即溃，河南省大部失守，逃窜在黄泛区里的国民党军队及豫东各县国民党流亡政权，相继叛国投敌。国民党河南十二专区专员屈维汉，无法维持，自动宣布专署解散。国民党既抛弃豫东广大人民于不顾，我水东联防办事处始应人民之请，正式成立冀鲁豫第六专员公署，并将各县联防办事处，一律改为县政府。四五年春，我水东解放军，为了拯救水西民众，乃派遣大批部队挺进新黄河，并打退敌伪，扫除据点，西至平汉线，南抵淮河，开辟了包括鄢陵、扶沟、西华、上蔡、商水等县广大地区的水西解放区，且一举攻入扶边县城。敌寇投降后，我豫东解放军更以雷霆万钧之势，对敌伪发动全面反攻，接连收复杞县、通许、西华、太康四个县城，以及其他大小据点无数。在这八年的艰苦战争中，仅根据不甚精确的统计，我军即作战四九○九次，共毙俘日军六二三名，毙俘伪军九二二九名，缴获大炮五门，轻重机枪二一五挺，步马枪七七四七只，共解放县城五座，村镇八千二百余处，人口约三百六十余万，解放国土达四万余平方华里。而这些战绩，都是我豫东八路军、新四军牺牲流血得到的成果。在战斗中，我伤亡旅政委唐克威，地委书记韩达生，团政委马庆华以下干部及战士五二六六名。同时，我豫东解放军及抗日民主政权，并领导人民进行了救灾、治黄、开荒、减租、减息等工作。当四三年春荒时期，我军政人员曾有两月之久，吃糠咽菜，甚至采食树皮，每人每日节约粮食二两拿来赈济灾民。而为了防止黄河泛滥，我豫东民主政权曾五次共拨款十万元，拨粮十八万斤，发动扶（沟）、太（康）、西（华）三县民众修堤五十一华里，救出良田五百二十万亩。我水东部队又亲自动手，帮助回乡灾民开出熟荒二万余亩。这些可歌可泣的史迹，已永远存留在豫东广大人民的心里，这是国民党好战分子无论如何也不能掩盖的。
    国民党反动派不愿看到我豫东人民得到解放，不去收缴敌伪武装，却积极策动敌伪于去年九月中旬，以五十五军六十八军十五军，及四十七军之暂一师等七个师，共约七万之众，自淮阳、商邱、开封等地四面包围我豫东解放区，向我发动全面猛烈内战，于十月七日，占我扶沟城，六日连陷我太康、西华两城，九日又攻占我通许城，十四日更进攻我杞县城，我军为了和平，忍痛退出水西解放区。但国民党意犹未足，复在我水东地区展开连续不断的清剿扫荡。国民党军队所到之处，奸淫烧杀抢掠，无所不为。九月十六日，在杞县圉镇集一一九师三七五团，一次即活埋村民梁叙合等十二名。同日在刘寨村，一一九师三五六团轮奸强奸该村妇女达四十八人。仅太康王集王培松等五人，即被讹诈大洋五十七万元。总计在这一时期内，国民党军队共杀死我解放区民众二三六人，烧毁房屋一四五间，奸淫妇女一二○三人，讹诈民众大洋二一七○五万元，抢去粮食衣服等约值洋五八九三万元，我水东解放区军民忍无可忍，乃奋起自卫，迫使国民党军队退守县城。但国民党军队仍不时乘隙向我进袭，即在元月十三日和平停战后，亦继续不断向我军进攻，仅二百人以上较大规模之进犯，即达五十三次之多，并于三月十四日八十一师以二个团之众，分兵三路，进占我杞县之傅集。三月二十日，更以八十一师全师兵力，连续向我驻赵村、刘寨、马庄部队发动猛攻，死伤我排长以下三十一名。然而在我水东解放区全体军民的努力自卫之下，国民党军队企图摧毁我水东解放区的阴谋，又完全破产了。
    现在我水东解放区北界陇海铁路（东起田庄车站，西至杏枝园车站），西至新黄河，南抵西华、淮阳代集、安平、张弓、田庄一线之广大地区内，除县城及傅集等几个集镇被国民党侵占外，所有广大的村庄仍然在我水东八路军冀鲁豫第六军分区管辖之下。我解放区共有村庄五千四百个，面积约三万二千平方华里，人口达二百四十四万。
    这些铁一般的事实，绝不是国民党捏造撒谎所能抹煞的，历史的事实是绝不能随意改换的，国民党的这种无耻的造谣，只不过是反动派阴谋家的一个鬼计，企图以否认我水东解放区的存在为借口，向我发动大规模的进攻。
    现在这种进攻开始了，自本月十一日起国民党已经先后占领了我睢县西南三四十里之我腹心地区长岗、尹店、瓦岗、砖楼、潮庄一带；十四日八十一师与睢县保安团队另一部进犯我厚子岗。我豫东军民为保卫民主，保卫和平，现正在睢县、杞县、太康地区与顽伪激战中。经过八年抗战锻炼的军民，为了保卫自己的利益，他们知道应该怎样做，现在是按应该做的做了。国民党好战分子，撕毁停战协定，发动内战，它的狞恶面孔，豫东人民是看得清清楚楚的了。"
昆明民主周刊时评  呼吁制止东北内战  抨击国民党反动派违反协议,1946-05-31,第1版,"专栏：

　　昆明民主周刊时评
    呼吁制止东北内战
    抨击国民党反动派违反协议
    【新华社延安二十七日电】昆明民主周刊三卷六期刊载时评“立即制止东北内战”文称：“国民党的反动分子违反国共双方协议，以大军源源开入东北，引起冲突，拖延东北问题的政治解决，是其推翻政协会协议的又一具体表现。反动派觉得在政治上部分推翻政协协议的成果还不够，因此更企图进一步用军事力量挑起内战，进而全面推翻政协协议。因此抓紧东北问题，极力企图将东北划在停战圈外，以便逞其重新挑动全国性内战的阴谋”。接着指出：“反动派在东北扩大冲突的阴谋，如果不能即时制止，接着来的，将是一个炮火喧天的全国性内战。和平民主局面，将遭到可怕的毁灭”。该杂志称：“我们呼吁全国人民提高警觉，准备即时用行动去制止反动派的阴谋”。同时并希望国民党当局，顾全东北人民的愿望，用谈判方式，解决东北所存在的政治问题”。"
河北国民党军大肆抓丁扩兵,1946-05-17,第1版,"专栏：

　　河北国民党军大肆抓丁扩兵
    【新华社河间十四日电】各地国民党当局，继续抓丁扩军，通县城外农事试验场，近已成立所谓“河北游击队”由前曾驻门头旗之护路司令刘凤林为司令，于及文为副司令，预计名额一万七千人，现已抓捕二千余人，编为三个团，每团五、六百人不等。石家庄之国民党当局，近亦成立“义务警察大队”一面抓捕，一面强征，每一小村要壮丁两名。驻天津安光之伪宋郁周部，到处强征壮丁，五堡村被抓去九十六名。伪朱先义部，已扩大其反动武装自卫团。"
建设民主繁荣的新松江  人民代表选举省府委员  马仲云将军当选省主席,1946-05-24,第2版,"专栏：

　　建设民主繁荣的新松江
    人民代表选举省府委员
    马仲云将军当选省主席
    【新华社哈尔滨二十一日电】松江省人民代表大会于上月底举行，出席民选代表一百六十名，他们代表全省五百万人民，讨论与确定该省今后民主建设大计，并以平等的不记名的选举方式，选出松江省政府委员马仲云、钟子云、王学明、韩幽桐、杜光预、卢蕴生、李植权、傅润成、张安者等九人，前抗日联军第二路军政治委员马仲云将军光荣当选为政府主席，这是一个民主的地方联合政府，其中有共产党员，国民党员，也有民主同盟和无党派人士，完全按照三三制原则而组成的民主政府已于五月五日隆重举行成立典礼，当选之省府委员宣誓就职，马仲云代表行政委员会向全省同胞宣誓，誓以全心全意为人民服务号召全省公务人员，团结一致，奋勉努力，紧紧依靠群众，替他们做更多的事，同时号召全省人民，组织起来，热烈支持人民自己的政府，人民与政府亲密的合作，建设民主的繁荣的新松江。"
