,版次,日期,Segmented_Content
264,第2版,1946-05-18,人间地狱 永年 城 方德 北平 华北 日报 五月 五日 发表 永年 城 同胞 被困 记 一篇 通讯 把 盘踞 永年 城 汉奸 们 的话 借 人民 口吻 出来 欺骗 人民 现在 让 人民 控诉 声音 带给 读者 放水 围困 敲骨吸髓 残杀 冀南 人民 八年 老牌 汉奸 伪 冀南 靖安 独立 旅长 铁 磨头 许铁英 伪 永年 保安 联队 副 王泽民及 伪 鸡泽县 保安大队 长 王冠 五 从 敌人 投降 现在 一直 盘踞 永年 城 当 王冠 五 九月 十九 接替 王泽民 盘踞 东桥 村 城东 五里 时 为了 阻止 大军 解放 永年 城 王冠 五在 村 南北 两面 决开 滏阳 河口 引水 灌入 护城河 灌水 前 把 城外 四关 通至 城内 大道 挖成 城河 一样 横断 深沟 切断 关城 联系 以城 中心 水面 宽到 三华里 五华里 关和城 像 五个 孤岛 沉在 周围 四十五 华里 小 湖里 周围 十九个 村 一万五千 亩 良田 变成 湖底 水围 城里 人民 再也 出不来 二万五千 小城 年前 强征 款项 达 一百八十 万元 之多 不断 强征 富商大贾 捐条 满筐 税丁 盈门 北大街 范伯西 强 捐 七百万 南大街 泰记 老板 郭兰荪 捐 逼死 综计 富户 捐款 达 九百万 城内 人民 骨头 榨碎 因 负担 不起 逼死 达 三百 人之多 伪军 旧历年 关更 疯狂 搜掠 人民 仅存 余粮 如 土坡 街席集 五家 没 搜出 粮食 老婆 抓 炮楼 轮奸 年关 期中 逼死 饿死 每天 五十 人之多 现在 仅存 活人 身上 还 负担 二千万 流通券 物价 涨得 这么 可怕 去年 十二月 一个 鸡蛋 七十 元 今年 四月 涨 五百元 现在 八百元 只能 买 一个二两 重 烧饼 二 人民 肚饥 汉奸 猪肥 从 今年 二月 开始 国民党 运输机 输送 粮食 接济 城里 伪军 投下 大饼 只有 国军 曾 敌人 县长 而今 国民党 政府 命官 杨 异才 之流 才 有份 城里 人民 得不到 什么 火牌 什街 一个 逃 东桥 难民 哭诉 饼 砸 塌 房子 掉 家里 饿 得 慌 拾 点儿 饼屑 吃 还 挨 一顿 毒打 人民 所得 国民党 运输机 赐予 大饼 砸死 房子 砸破 现在 据 记者 所知 受到 这种 不幸 灾祸 致死 已有 三个 十家 九家 房子 砸破 每天 两趟 飞机 飞临 上空 人民 生命 房屋 受到 两次 威胁 平均 每天 五 架飞机 供应 一万五千 斤 大饼 现役 伪军 伪 组织 人员 只有 两千 伪属 四千八百 这些 猪 吃 胀 破 肚皮 而近 六千 人民 却 挨饿 汉奸 们 虽用 饥饿 威胁 入伙 但 许多 富有 民族气节 人民 却 宁死不屈 城里 可以 看见 两种 一种 面黄饥瘦 眼睛 深陷 躺 街 旁 只 剩 一口气 灾民 或者 水边 捞 水藻 过 生活 死亡 挣扎 人们 另 一种 却是 肤色 丰润 男女 这种 身上 找不着 一点 饥饿 形色 王泽民 每天 还 用 二百斤 大饼 喂 三口 肥猪 四十多个 猪娃 夜深人静 时 还 可以 听到 官家 肥狗 狂吠 黎明 还 可以 听到 公鸡 唱晓 城里 没有 二分 地 人民 没菜 吃 多害 鸡 宿眼 破血病 可是 汉奸 们 却 能 吃 从 飞机 送来 鱼肝油 罐头 牛肉 三 抢救 永年 城楼 滏阳 河床 一样 平 八路军 为了 抢救 人民 十一月 二十八日 午前 应 人民 请 攻克 东桥 午后 抢 堵 决口 所以 河水 没有 上升 城门口 十二月 一日 民主 政府 发动 解放区 群众 二千 六百 二十三 抢 挖 排水沟 以后 从水里 把 城内 人民 抢救 陆地 上来 人民 再也 活不下去 二月 十四 一次 自发 出城 斗争 汉奸 们 正在 想法 要 推出 一批 消费 人口 所以 放出 五千多 赤手空拳 老弱妇孺 把 养活 这些 青壮年 全都 扣留 下来 供 继续 奴役 剥削 企图 把 妇孺 们 饿死 解放区 里 伪军 小 筏子 刚 把 老弱妇孺 们 渡过 半里 多远 水面 借口 怕 八路军 扣留 船只 一个个 推 下水 去 水深 路 远 广阔 水面 一时 只 听 得 一片 哀号 北关 活活 淹死 三个 岸边 殷殷 守候 八路军 战士 们 奋不顾身 纷纷 跳入 刺骨 水里 把 救 起来 已经 一部分 不能 说话 民主 政府 党头 村烧 大火 给 烤 煮 稀饭 喂 嘴里 身上 暖 肚里 热 才能 说出 话 才能 站 得 起来 政府 发给 每人 十斤 急 赈米 介绍 附近 村子 居住 第二次 三月 十一 执行 小组 把 带出 三千多 连 平时 逃出来 一共 综计 一万八千 其中 没有 生存能力 得到 政府 救济 达 八千 政府 领导 搓 草 腰 编 蒲扇 织网 子 作 小生意 每天 可以 获得 百元 以内 收入 家务 初步 建立 起来 但作 得 还 不够 好 因此 还 存在 严重 困难 四 需要 什么 需要 什么 呢 一个 出城来 解放区 领 救济粮 北街 代表 六十 老人 王作 新 城里人 需要 出来 可是 汉奸 不让 啊 龙钟 老泪 伴随 低沉 声音 落 地上 东关 小 船夫 陈珊珠 告诉 虽 淹死 三个 但 东门 每天晚上 还是 有人 泅水 出 城 逃 解放区 北大街 口 路西 张 印证 弟兄 三个 被迫 当 伪军 他三弟 去年 受伤 死去 明白 这个 灾祸 汉奸 们 赐予 四月 中旬 弟兄 两个 先后 坠城 泅水 解放区 把 枪 交给 八路军 住 南关 鸡泽 伪军 们 早就 要求 解除武装 归田 务农 可是 直到现在 仍 杀人不眨眼 伪军 头子 们 继续 统治 驱使 五月 一日 到达 解放区 南桥 看到 救济 小组 美国 恒安 石 先生 从 城里 带出 百人 十七个 小孩 八 十三个 女人 站 岸边 难民 们 看着 城里 成百 心 期待 她们 孩子 丈夫 出来 养活 可是 汉奸 们 不愿 放出 一个
265,第1版,1946-05-20,和约 问题 必须 四强 一致 协议 莫洛托夫 严辞 拒斥 贝纳斯 巴黎 外长 会议 即将 休会 延安 十九日 巴黎 十五日 下午 四 外长 举行 第二十四 次 会议 讨论 贝纳斯 十四日 四项 建议 时 一致 通过 一俟 德国 问题 十六日 讨论 完毕 会议 实行 休会 延至 六月 十五日 再 巴黎 复会 对意 休战 条款 修正案 经 稍加 修正 后亦付 通过 关于 规定 会 日期 问题 贝纳斯 要求 留交 六月 二十五日 会议 决定 莫洛托夫 称 苏不 反对 任何 时候 召开 会 但 需 按照 莫斯科 外长 会议 决定 先有 四强 对 和约 一致 协议 贝纳斯 意欲 以其 会上 可能 控制 小国 多数 预计 约 十五六 国 强制 苏联 接受 美英 意见 企图 遭到 莫洛托夫 严辞 拒斥 奥地利 问题 置于 下次 会议议程 建议 亦 遭 苏方 拒绝 莫洛托夫 对此 声称 该 问题 并未 包括 波茨 顿 会议 所 规定 程序 而且 对意 和约 重要 问题 俱未 获得 解决 不能 再 找麻烦 莫洛托夫 拒绝 贝文 建议 该 建议 要求 各 外长 经过 正常 外交途径 对 奥地利 问题 交换意见 十五日 上午 会议 讨论 德国 问题 时 贝纳斯 提议 任命 特别 委员会 研究 调查 整个 德国 有关 问题 同时 谋求 对德 和约 协议 以便 复会 之外 长 会议 提出 报告 提出 尽可能 十一月 十二日 召开 另 一和会 该项 建议 十六日 会议 付诸 讨论
266,第2版,1946-05-24,国民党 进占 抚顺 重陷 黑暗 深渊 民不堪命 纷纷 逃向 解放区 长春 二十一日 国民党 反动派 进占 抚顺 敌伪 残余 势力 重 抬头 市民 再 投入 黑暗 深渊 伪满 时 抚顺市 伪 警察 官 郭生 一百七十 万元 买 得 抚顺市 公安局长 伪满 时 大 毒品 贩 鸦片烟 组合 长 华雨亭 百万元 买 得 国军 上校 官职 曾 民主 政府 通缉 伪 警察署 长徐 长春 亦 负有 任务 回至 抚顺 领着 军队 到处 捕人 一个月 内 国军 抚顺 非法 逮捕 工人 职员 学生 达 四百余 三月 十五日 抓去 曾 民主 政府 工作 一个 具有 正义感 妇女 捆绑 游街 强迫 她 讲 民主 联军 共产党 坏话 但 遭 严词拒绝 她 你们 枪毙 决不 八路军 共产党 一句 坏话 坚决 反对 你们 专制 独裁 市内 到处 清查 户口 检查 行人 人民 索取 伪满 良民证 日夜 抽 抓 劳工 修筑 碉堡 炮台 强迫 每 组 每天 去 五个 劳工 从事 十一 小时 以上 劳役 军官 们 忙 发财 从 秦皇岛 运来 大批 海洛因 鸦片 勒令 当地 居民 购买 由于 滥发 钞票 促使 物价 狂涨 一般 比市 外 民主 联军 所在地 高过 数倍 尤 粮食 最为 昂贵 如 四月 上旬 市内 高粱 每斤 伪满 币 十二元 五角 而市 外 民主 联军 防区 每斤 只 二元 抚顺 人民 不堪 压榨 纷纷 民主 联军 驻地 逃奔
267,第4版,1946-05-15,新闻界 祝贺 新闻界 祝贺 庆祝 人民日报 创刊 正当 国民党 反动派 调兵遣将 行将 揭开 大规模 屠杀 人民 全面 内战 时候 听到 人民 报纸 你 创刊 兴奋 极了 你 诞生 人民 喉舌 资格 喊 出全 边区 人民 呼声 代表 出全 边区 人民 意见 相信 你 会 有力 引导 三千万 人民 国民党 反动派 进行 胜利 斗争 亟早 促成 和平 民主 实现 你们 新闻 阵线 主将 希望 你 指导 下 完成 以上 任务 共同奋斗 冀南 日报社 冀南 分社 全体 职工 同贺 三千万 人民 嘴巴 山地 平原 桥梁 太行 新华 日报社 太行 分社 全体 职工 敬贺 集中 人民 意见 坚持 人民 利益 冀鲁豫 日报社 冀鲁豫 分社 敬贺 人民 报纸 要 反映 人民 愿望 和平 民主 领导 人民 斗争 巩固 和平 实现 民主 冀南 书店 五月 九日 祝 人民日报 创刊 你 代表 边区 三千万 人民 斗志 呼声 响应 你 每 号召 鼓舞 前进 人民 军队 报社 人民 画报社 敬献
268,第2版,1946-05-24,和顺 经过 减租 互助 生产 超过 往年 群运未 深入 村 生产 劲头 大 沁县 二 区 检查 全区 生产 本报 长治 和顺县 互助 生产 运动 目前 超过 以往 任何 一年 全县 二百 零 二个 行政村 二万 一千二百 五十二 户 八万 三千七百 二十四个 人中 组织 起来 已有 一万四千 一百 七十二 户 二 万八千 九百 一十 参加 互助 人数 占 全县 人口 百分之三十 四强 全县 现 共有 互助社 六个 拨工队 一百二十二个 互助 小组 一千七百 四十九个 按 组织 起来 程度 可 分为 三类 村 八十八 村 减租 已较 彻底 群众 觉悟 较 高 认识 组织 生产 重要 互助 组织 亦 较 巩固 七十五 个村 减租 尚有 遗留问题 不够 深入 群众 觉悟 较差 互助 多系 干部 包办 搞 起来 此外 尚有 三十九个 村 减租 很 彻底 群众 生产 情绪 不高 故 该县 大 生产 目前 仍 结合 减租 以期 贯彻 减租 进一步 组织 起来 本报 阳城 沁县 二区 四月 十六号 检查 全区 生产 工作 检查 结果 如下 全区 共 组织 互助组 一百五十 七个 一千 一百九十三 其中 以西 林 西北 后沟 北集 乌苏 故县 镇 六村 发展 最 普遍 西林 较 其他 村为 好 该村 共 组织 十三 组 人数 七十八 占 该村 男 全劳动力 百分之八十 以上 组织 办法 自愿 结合 王丙 王兴 二人 按 居住 邻近 结合 小组 号召 大家 组织 互助 小组 发展 成为 大队 现 该村 选出 王丙 大队长 领导 全村 互助组 进行 生产 其次 故县 镇 姜海金 黄 更 互助组 北集王 兴元 互助组 比较 发展 好 二 普及 植棉 首先 进行 棉籽 调剂 除 政府 帮助 调剂 六千斤 外 号召 群众 亲 往 霍县 运生 棉籽 六千 三百斤 现已 全部 下 种 共计 种棉 五千 一百三十 一亩 其中 西北 南集 庄 南仁 郭庄 后泉 联村 六村 种棉 最 多 只 西北 联村 即种 六百多 亩 寺沟 一个 小庄 十六 户 人家 就种 五十五 亩 每户 平均 二亩 全区 平均 每户 一亩 任务 全部 完成 植棉 技术 指导 由区 植棉 指导员 按 季节 召开 村 指导员 会议 具体 研究 亲自 下乡 实验 指导 三 推广 金 皇后 玉 茭 增加 产量 首先 进行 种子 调剂 计划 今年 全区 共种 金 皇后 两千 一百一十 九亩 西林 计划 全村 玉 茭 完全 改种 金 皇后 计 三百亩 每亩 多 打 五斗 计 全区 可 增产量 一千零五 十九 石 五斗 四 清明 号召 植树 每人 保证 栽活 一棵 但 因敌 驻余 凹 漫水 时 树 砍光 除下庄 郭庄 南庄 南仁 故县 镇 驻 村外 缺乏 树 栽 全区 统计 共 植树 一万 零 四百 三十 一棵 每 两口 平均 植树 一株 其中 故县 镇 集体 造林 紫 山上 植树 一千余 棵 五科 村 安保 林一人 植树 一百一十 棵 五 春耕 贷款 八区 共贷 五十八 万元 据统计 用 农具 占 百分之二十二 耕畜 占 百分之五十 四 肥料 占 百分之四 西林 全村 贷款 两万 二千元 买 耕牛 七 头 全区 共贷 耕牛 六十八 头 贷款 办法 群众组织 春贷 委员会 计定 挂 榜 公布 再 群众 讨论 提意见 决定 对象 多 贫苦 农民 抗属 荣誉军人 贷款 户 超过 全村 户数 百分之二十
269,第1版,1946-05-18,巴黎 会议 续商 对意 和约 问题 苏联 反对 分割 朱利亚 延安 十五日 巴黎 贝文 回返 巴黎 按贝文 十二日 下午 一度 返 伦敦 四强 外长 十三日 下午 举行 四 小时 秘密会议 讨论 对意 和约 诸 问题 据 合众社 电称 关于 意 边界问题 英美 表示同意 法国 划界 建议 该 建议 朱利亚 大部地区 归还 南国 但 的里雅斯特 则 仍 属于 意国 苏联 认为 此 建议 系对 朱利亚 与其 经济 中心 实行 不合理 人工 分割 因此 拒绝 苟同 关于 赔款 问题 仍 未获 结果 贝纳斯 关于 由四强 管制 意大利 殖民地 建议 遭到 贝文 反对 由于 和约 问题 尚无 完全 协议 莫洛托夫 否决 贝纳斯 改变 议题 讨论 德国 建议 贝纳斯 要求 速定 会 日期 修改 休战 条款 莫洛托夫 表示 原则上 反对 但 必须 各 主要 和约 问题 取得 协议 之后 再说 延安 十三日 巴黎 四强 外长 十一日 下午 会议 继续 讨论 意大利 殖民地 问题 苏联 不惜 委曲求全 续作 重大 让步 使 外长 会议 比前 具有 较大 协调 趋势 据 路透社 称 莫洛托夫 会上 提出 苏联 放弃 其 托管 的黎波里 坦 尼亚 利比亚 西部 要求 主张 联合国 监督 下 意大利 负责 托管 其 原有 殖民地 贝文 对此 同意 但 昔 兰尼加 利比亚 东部 英国 托管 条件 合众社 称 四 外长 现正 企图 修改 六日 获得 妥协 使 其 变成 对 意大利 问题 总 协议
270,第2版,1946-05-18,晋绥 减租 广大群众 置 地 生产 二分 区 富农 增雇 长工 百余人 兴县 十四日 晋绥 二分 区 各地 各阶层 生产 情绪 普遍 高涨 广大 贫苦 群众 减租 争相 买地 偏关 西沟村 二十余家 买进 好 地 二百四十 余亩 各地 富农 增雇 长工 一百七十余 河曲 地 主张 承业 洪爵 十余 减租 积极 转向 农 工业 发展 生产 河曲 保德 偏关 神池 五寨 岢岚 六县 共 增购 牲口 达 二千余 头 群众 对 耕地 施肥 更加 注意 河曲 城关 二百 二十八 户 半月 内 集粪 二万余 车 五花 城村 去年 买 油饼 三万斤 肥田 今年 增加 八万斤 每 小车 粪价 三十元 涨至 一百二十元 群众 今年 生产 情绪 较往年 提高 半月 来种 棉纺织 修水利 闹 运输 均 较往年 热烈 兴县 十一日 春耕 继续 深入 减租 查租 地区 群众 热情 地 搞 大 生产 崞 县 黄水河 安子 村 群众 赎回 土地 二百五十 余亩 分得庙 地百 余亩 四十余 户 贫农 得到 口粮 联合 附近 北午 庄等村 漫地 万 余亩 修复 水渠 一条 可灌 地 三千余亩 方山 三区 经过 查租 保佃后 据 三个 村 统计 开荒 千亩 花家坡 村 十四个 雇农 用 增资 买 牛 组织 两个 变工组 轮流 上山 垦荒 宁武县 劳力 武力 结合 保卫 生产 创造者 张 初元 食北堡 先 从 解决 贫苦 农民 食粮 种 困难 入手 开展 该村 查租 运动 同时 组织 变工队 改造 十二个 二流子 参加 生产 文水 打破 干部 认为 平川 无租 可减 思想 下会 镇 水寨 村 北 辛店 中心 村庄 减租 运动 发动 起来 永乐 村 扩大 耕地 一百六十 亩 植棉 比 去年 增加 数倍 汾阳 仁岩村 九十个 劳动力 减租 组织 变工 妇女 组织 变工组 种 棉花 发展 家庭 纺织 丰镇 减租 增资 胜利 组织 八十余 村拨 工队 一区 榆柏沟 斗争 恶霸 倪拴桂 胜利 全村 二百多个 劳动力 四十余 头 牲口 参加 拨工队 立峋 村 减租 主佃 合伙 修筑 水渠 兴宁 弓涌 村经 减租 今年 扩大 耕地面积 一千一百 余亩 不少 雇工 因而 得到 土地 自立 庄户
271,第1版,1946-05-17,揭露 反动派 挑动 内战 国民党 当局 理屈词穷 延安 十三日 延安 七日 电讯 揭露 国民党 反动派 为了 继续 内战 调动 百万 以上 军队 事实 引起 各方 严重 注意 为此 何应钦 为首 陆军总部 乃 不得不 其 发言人 进行 驳斥 见 中央社 十一日 但是 可怜 得 很 该 发言人 拿不出 一点 证据 支持 这种 驳斥 除了 对于 七十 三军 密运 济南 一事 略有 空洞 申辩 外 对于 其他 十几个 军 九 十几个 师 调动 事实 番号 时间 地点 避而不答 这 更 证明 电讯 确实可靠 它 无法 可以 驳斥
272,第1版,1946-05-21,意大利 保皇派 造谣 图为 意王 保持 王位 延安 十七日 罗马 意 保皇派 制造 谣言 图 帮助 安伯托于 六月 二日 公民 复决 保持 王位 保皇派 报纸 塞拉 下午 报 登载 安伯托 险遭 暗杀 消息 该报 称 自 可靠 方面 悉 法西斯 分子 企图 当安伯托杂 保皇派 示威者 群中 时候 投掷 炸弹 因为 背叛 墨索里尼 法西斯主义 德国 盟邦 此 消息 发生 意 内政部长 罗 米第亚 立加 否认 罗马 观察家 称 保皇派 此一 谣言 意图 显在 安伯托 制造 政治 资本
273,第1版,1946-05-20,民主 联军 释放 战俘 被释 官兵 深 宽大 仁厚 感动 自惭 穿 美国 衣打 中国 可 羞 四平 街 十六日 民主 联军 前方 总司令部 日前 欢送 被俘 国民党 军官 返部 战地 召开 座谈会 国民党 军 排级 以上 军官 十余 座谈 国民党 军 上校 高级 参谋 王化民 被俘 以后 以为 阶下囚 谁知 成为 座上客 民主 联军 宽大 仁厚 深深地 感动 接着 惭愧 地说 那里 满意 三点 第一 保甲 制 平等 征兵制 有钱 人家 五个 弟兄 抽 穷人家 独子 要 抽 去 第二 滥用 武力 这次 得 好听 接收 实际 打 内战 第三 经济 统制 官僚资本 独占 一切 法币 跌价 百物 腾贵 民不聊生 接着 上士 排副 孙成 五 沉痛 地说 民国 二十七年 抓 当兵 这次 开到 新民县 才 听 上级 土匪 太 多 要 消灭 但是 打听一下 才 知道 爱国 爱民 八路军 于是 许多 弟兄 愿意 打仗 中尉 排长 王瑞芳 一个 学生 出身 二十岁 青年 你们 接 战时 知道 你们 八路军 勇气 消失 非常 气愤 地说 希望 回家 你们 为了 保卫和平 如果 需要 坚决 这里 干 代理 排长 彭金荣 沉痛 地说 中国 拿 美国 武器 穿 美国 衣服 打 中国 最 羞耻 中尉 连 副 彭 志远 更 诚恳 地 说明 国内 需要 和平 民主 统一 国民党 反动派 要 打 内战 少尉 排长 徐树燕 不愿 个人 阴谋 流血 此次 欢送 回 部 军官 共八人 临行 对 民主 联军 表示感谢 今后 一定 要 凭良心 作 事 决不再 打 内战 长春 十七日 国民党 反动派 抢占 鞍山 委任 惯匪 绰号 杀鸡 王 邹成 清为 鞍山市 市长 抢占 台安 委任 绰号 野龙 严三虎 台安 大队长 抢占 辽中时 更 日军 土匪 作 先锋 据 辽中县 逃来 人士 谈 国民党 反动派 进城 时 最 前面 二百多个 日军 中间 惯匪 周中生 率领 一百多个 土匪 最后 才 所谓 中央军 所到之处 奸淫掳掠 烧杀 无所不为
274,第1版,1946-05-28,济南 执行 组飞 临沂 国民党 威吓 南通 小组 代表 临沂 二十五日 济南 执行 小组 国民党 代表 文泽 美方 代表 台维斯 国民党 第二 绥靖 公署 副参谋长 罗辛理 国民党 山东省 府 委员 郑继禹 山东 军区 外事 部长 黄远 暨 随员 一行 十余 昨日 午后 二 时 飞抵 临沂 新四军 军长 兼 山东 军区 司令员 陈毅 将军 有所 商谈 宣化 店 二十五日 汉口 汉口 中心 执行 小组 第九 小组 接获 中共 中原军区 司令 李先念 将军 宣字 第六号 备忘录 决定 派 特别 小组 本月 二十六日 前往 江汉 地区 一带 调查 国民党 军在安 陆 应 山 寿 山 地区 围攻 中共 部队 情形 该 特别 小组 美方 代表 白洛 中校 国民党 代表 关文 杨 中校 中共 代表 马塞冰 少校 如皋 廿三日 本月 一日 乘机 飞 南通 执行 小组 人员 十三 日夜 乘 汽车 返抵 如皋 此次 执行 小组 赴通 系奉 北平 军调部 令 前往 视察 小组 抵通后 南通 国民党 当局 通知 中共 代表 蒋克定 称 形势 紧张 少出 妙 甚至 蒋氏 其 所 住 旅馆 晒台 休息 时 竟 遭 值班 副班长 喝令 进去 蛮横 地说 快回去 这是 上面 命令 蒋氏 即予 训斥 国民党 代表 杨超 提出 口头 抗议 杨超 即予 该 副班长 训斥 彼称 即将 予以 处分 中共 代表 口头 道歉
275,第1版,1946-05-29,我军 解民倒悬 东明 人民 热烈 劳军 国民党 飞机 连日 狂炸 东明 本报 荷泽 二十六日 解放 东明 人民 热烈 慰劳 八路军 到处 欢呼 自己 人来 该县 民众团体 代表 全县 十五万 人民 给 解放 东明 八路军 写 慰问信 称 亲爱 同志 们 当 你们 顺应 人民 请求 全县 人民 即刻 忧愁 变成 喜悦 沉默 变成 欢狂 该县 五区 四十余 村 三百 位 群众 代表 带 旗 锣鼓 伞及 猪 羊 鸡子 礼物 赶 三十里 路来 慰劳 前方 指战员 大屯 村 七十余岁 瞎子 赵二喜 老先生 拿出 仅 四个 鸡子 手持 拐杖 亲到 街上 找 八路军 慰劳 慰劳 唐庄 六十岁 姓 刘 佃户 脱 下 衣服 给 记者 看 去年 十一月 间 无辜 汉奸 打 伤痕 本报 东明 二十六日 冀鲁豫 八路军 顺应 人民 请求 进入 东明 城内 受降 时 国民党 飞机 十三 架于 二十二 二十三 二十四 连日 飞 至 东明 城 连续 轰炸 低空 扫射 共 投弹 五 十余枚 扫射 机枪 弹壳 Ｂ Ｃ Ｂ 字样 均 美造 据 完全 统计 共伤 民众 战士 二十余 毁 民房 十余 间 东明 人民 对 国民党 此种 暴行 深 愤慨
276,第2版,1946-05-26,石塘 区 主佃 仲裁 会议 淮安 通讯 三月 二十日 淮安市 石塘 区 七个 街 四千 群众 进城 地主 算账 怒 倒 石碑 见 本报 五月 二十日 载 编者 立即 返乡 分别 集合 进行 清算 截至 月底 一部 租佃 仲裁 问题 已获 解决 部分 租佃 账目 因 地主 明大义 对 各种 额外 剥削 如 预借 麦 伪费 不肯 按法 清算 群情愤慨 要求 政府 调处 同时 地主 要求 政府 迅速 处理 于是 四月 四日 淮安 县府 市府 石塘 区署 共同 主持 下 召开 主佃 仲裁 会议 下面 该 会议 通讯 从 这里 可以 看出 地主 剥削 佃户 残酷 佃户 却是 宽大为怀 编者 四月 四日 这 一天 给予 淮安 石塘 区 人民 印象 太 深刻 永远 不会 忘记 这样 一个 场面 淮安 县政府 大礼堂 内 一边 坐 六十余 位 衣冠楚楚 业主 另一边 坐 二百多位 穿戴 得 很 粗陋 佃农 代表 双方 说明 自己 意见 以致 争论 得 面红耳赤 这 就是 淮安 石塘 区 减租 仲裁 会议 会议 前 曾经 过主佃 双方 酝酿 政府 作 详尽 调查 研究 因此 双方 代表 得 很 齐全 下午 一时 淮城尹 市长 宣布 开会 石塘 区 发动 减租 算账 以后 主佃 双方 一时 难能 解决 很多 问题 政府 同时 接到 业主 佃户 双方 申请书 请求 调解 双方 纠纷 因此 召开 这个 会议 接着 主佃 双方 踊跃发言 业主 方面 林秀五 赵 兰亭 秦士良 叙述 此次 算账 情形 询问 算账 标准 佃户 方面 发言者 王树功 说出 佃户 苦处 要求 清算 看稻费 十余种 额外 剥削 主佃 相继 发言 进入 仲裁 首先 解决 业主 汤仞 千 佃户 纠纷 汤有 一百二十六 亩 地 教场 乡 本人 上海 未归 庄头 王树仁 代表 佃户 代表 王树功 按照 账单 叙述 各项 剥削 细账 第一项 伪费 发生争执 业主 代表 认为 乡下 有费 街上 有费 因此 应由 佃户 负担 佃户 王树功 听 不服气 立即 站 起来 高声 伪费 田亩 摊派 种 你 地 出 租 你 自己 田不出 伪费 难道 还要 朝 身上 推 当即 激起 佃户 们 一阵 掌声 双方 争持不下 有个 业主 认为 可以 根据 天理 国法 人情 把 伪费 双方 负担 佃户 代表 王树功 一石稻 六亩 六分 每年 可收六石 小麦 十五 石稻 共 二十一 石 除去 给 你们 十石 正租 各种 人工 粪水要 六担 四斗 扣 去 春修 挑 粪 挖 圩 供饭 小租 看庄 三石 多 再要 出 伪费 四石 共 二十三 石 四斗 一年 辛苦 还要 倒贴 真逼得 好 苦 啊 没吃没穿 还要 出去 卖苦力 到处 逃荒 想起 过去 苦难 岁月 激起 愤怒 脸上 泛出 条条 筋脉 大声 什么 天理 国法 人情 呵 的话 激起 佃户 们 同情 掌声 但是 佃户 们 终究 明白 大义 不愿 因为 伪费 问题 争执 影响 主佃 之间 和睦 经过 一度 沉寂 一个 姓 高 佃户 首先 表示 让步 伪费 照主佃 得益 多少 来出 得 多出 多 得少 出少 只要 主人 知道 过去 受 苦 不再 层层 剥削 可 原谅 可以 让步 至此 双方 意见 已渐 接近 孙 县长 提出 按照 天理 国法 伪费应 业主 负担 但 照顾 地主 生活 伪费 可 主佃 双方 四六分 担 佃四主六 还要 依据 业主 经济 情况 具体 执行 业主 表示同意 佃户 高呼口号 拥护 孙 县长 意见 伪费 问题 解决 进行 算账 佃户 代表 王树功 提出 石塘 区有 二十四家 佃户 种 业主 汤仞 千家 地 一百六十 一亩 自 二十八年 鬼子 来起 去年 解放 淮城 七年 共 出 伪费 六百六十 三石 二斗 虚田 租 老板 田 不足 亩数 成为 虚田实 租 供饭 管事 下乡 收租 必须 酒肉 款待 小租 地主家 管事 仆役 开支 稻种 看稻费 管事 下乡 看稻 收成 时 佃户 要 送 钱 看 黑庄 总共 出 费 一千二百 八十一 石 九斗 五升 罢 把 详尽 账单 递给 主席 审查 主席 接过 账单 交给 汤家 庄头 代表 王树仁 查看 但 王树仁 接过 账单 还 未 过目 连声 不知 懂 佃户 代表 立即 群起 质问 你 懂 怎来 催租 少 把 一捆 租 你 知道 好多 说理 规劝 最后 王树仁 终于 不得不 承认 只有 麦租 余 账 不错 双方同意 扣除 尚有 一千二百 六十三 石 五斗 五升 这时 佃户 自愿 再作 让步 一个 姓李 代表 今天 各种 剥削 提出 要 老板 知道 过去 受 苦 怎样 弄 得 穷 出头 现在 自动 让步 只算 五笔 账 预借 麦 二 伪费 三 修车 四 电码 不明 五 挖沟 挖 圩 刚一 说完 主佃 双方 均 热烈鼓掌 于是 业主 汤仞 千 立即 按此 标准 结算 业主 见 佃户 如此 让步 表示 非常感谢 会议 至此 已近 傍晚 仲裁 即告 结束 孙 县长 即起 讲话 说明 佃户 苦活 一年 不能 一饱 减租 完全 合乎 天理 国法 人情 举 很多 剥削 例子 这时 边府 刘副 主席 继起 讲话 首先 说明 今天 是业 佃 团结 会议 希望 以后 不要 听 坏人 造谣 共产党 使 穷富 饭 吃 大家 有衣 穿 大家 日子 过得 好 提倡 讲理 有理 走遍 天下 无理 寸步难行 讲理 要 采取 民主 方式 佃户 要说 业主 要说 把理 讲清楚 业佃 双方 静静的 倾听 的话 声屡 热烈 掌声 所 淹没 会 至 薄暮 这个 淮安 城 首创 业佃 团结 会议 就告 胜利 结束
